epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.257,1.84886,2.54325,1.31851,0.61895,0.507,0.51454,0.273,1.6029,1.69807,1.2654,0.000554148,0.000554148,0.000554148
2,253.08,1.81053,1.87802,1.34843,0.6003,0.53349,0.59414,0.3013,1.6443,1.59111,1.33449,0.000999943,0.000999943,0.000999943
3,435.461,1.76389,1.69644,1.33982,0.61602,0.53572,0.5707,0.31079,1.57532,1.44079,1.33561,0.00133572,0.00133572,0.00133572
4,576.308,1.7219,1.54111,1.32627,0.65308,0.58684,0.62093,0.34877,1.4946,1.26718,1.26459,0.0011719,0.0011719,0.0011719
5,703.616,1.64027,1.39345,1.28903,0.7313,0.61025,0.67172,0.37283,1.47887,1.26125,1.26865,0.00100687,0.00100687,0.00100687
6,835.087,1.57141,1.30394,1.25245,0.73848,0.65083,0.71205,0.41537,1.38337,1.16119,1.22125,0.000841835,0.000841835,0.000841835
7,975.676,1.50969,1.21267,1.21215,0.77141,0.67328,0.75106,0.43799,1.36013,1.05639,1.1907,0.000676802,0.000676802,0.000676802
8,1101.34,1.47566,1.17679,1.19173,0.78098,0.68599,0.76056,0.44647,1.36691,1.0297,1.18813,0.000511769,0.000511769,0.000511769
9,1226.95,1.42938,1.09686,1.14828,0.74484,0.7061,0.7787,0.46907,1.2848,0.97427,1.16569,0.000346736,0.000346736,0.000346736
10,1353.53,1.36831,1.03848,1.12837,0.76118,0.73123,0.77598,0.49006,1.22566,0.90832,1.13525,0.000181703,0.000181703,0.000181703
